#ring_or_winding_chain_length number_density stderr
4 0.00568488 2.12001e-05
6 0.00202072 1.26507e-05
8 0.0009816 8.66699e-06
10 0.00054432 6.3608e-06
12 0.00033808 4.9024e-06
14 0.00022696 4.1037e-06
16 0.00015472 3.1358e-06
18 0.00011984 3.22189e-06
20 8.92e-05 2.63727e-06
22 6.976e-05 2.72489e-06
24 5.64e-05 2.06572e-06
26 4.48e-05 1.82428e-06
28 3.376e-05 1.76936e-06
30 3.064e-05 1.68211e-06
32 2.512e-05 1.47521e-06
34 2.296e-05 1.47797e-06
36 2.072e-05 1.30031e-06
38 1.904e-05 1.24338e-06
40 1.624e-05 1.13957e-06
42 1.32e-05 1.06358e-06
44 1.312e-05 9.22744e-07
46 9.2e-06 7.78717e-07
48 1.096e-05 9.37435e-07
50 8.48e-06 7.31639e-07
52 8.08e-06 7.87868e-07
54 7.84e-06 7.67166e-07
56 7.6e-06 7.94984e-07
58 4.88e-06 6.18592e-07
60 6e-06 7.36478e-07
62 3.76e-06 5.47927e-07
64 4.24e-06 5.59485e-07
66 5.04e-06 6.94251e-07
68 3.92e-06 5.12187e-07
70 3.76e-06 5.36119e-07
72 2.8e-06 4.84974e-07
74 2.64e-06 4.6723e-07
76 2.4e-06 4.45421e-07
78 2.48e-06 4.337e-07
80 2.48e-06 4.48214e-07
82 2.16e-06 4.36055e-07
84 2.08e-06 4.17536e-07
86 1.36e-06 3.40447e-07
88 1.68e-06 3.44929e-07
90 2e-06 4.43621e-07
92 1.52e-06 3.69995e-07
94 1.76e-06 3.31397e-07
96 8.8e-07 2.50312e-07
98 8e-07 2.4e-07
100 1.76e-06 3.68e-07
102 1.28e-06 3.3409e-07
104 1.28e-06 2.93285e-07
106 1.12e-06 2.9976e-07
108 1.36e-06 3.21098e-07
110 1.28e-06 2.93285e-07
112 1.28e-06 3.3409e-07
114 5.6e-07 2.04118e-07
116 7.2e-07 3.01357e-07
118 7.2e-07 2.28945e-07
120 1.2e-06 3.4641e-07
122 5.6e-07 2.04118e-07
124 8e-07 2.4e-07
126 9.6e-07 2.59969e-07
128 1.2e-06 2.85657e-07
130 5.6e-07 2.04118e-07
132 8e-07 2.4e-07
134 6.4e-07 2.69637e-07
136 4.8e-07 1.89989e-07
138 4e-07 1.74356e-07
140 6.4e-07 2.44753e-07
142 1.6e-07 1.12e-07
144 5.6e-07 2.33375e-07
146 4e-07 1.74356e-07
148 7.2e-07 2.28945e-07
150 7.2e-07 2.55374e-07
152 5.6e-07 2.04118e-07
154 1.28e-06 3.3409e-07
156 3.2e-07 1.56767e-07
158 5.6e-07 2.04118e-07
160 4e-07 2.07846e-07
162 5.6e-07 2.59353e-07
164 4.8e-07 1.89989e-07
166 5.6e-07 2.04118e-07
168 3.2e-07 1.93329e-07
170 6.4e-07 2.17035e-07
172 2.4e-07 1.77268e-07
174 4e-07 1.74356e-07
176 2.4e-07 1.77268e-07
178 4e-07 1.74356e-07
180 4e-07 1.74356e-07
182 4.8e-07 2.21124e-07
184 3.2e-07 1.56767e-07
186 1.6e-07 1.12e-07
188 2.4e-07 1.3647e-07
190 1.6e-07 1.12e-07
192 4e-07 1.74356e-07
194 6.4e-07 2.17035e-07
196 2.4e-07 1.3647e-07
198 1.6e-07 1.12e-07
200 2.4e-07 1.3647e-07
202 4.8e-07 2.21124e-07
204 1.6e-07 1.12e-07
206 8e-08 7.9599e-08
208 8e-08 7.9599e-08
210 1.6e-07 1.12e-07
212 2.4e-07 1.3647e-07
214 4e-07 1.74356e-07
216 2.4e-07 1.3647e-07
220 2.4e-07 1.3647e-07
222 8e-08 7.9599e-08
224 1.6e-07 1.12e-07
226 8e-08 7.9599e-08
228 1.6e-07 1.12e-07
230 1.6e-07 1.12e-07
232 2.4e-07 1.77268e-07
234 3.2e-07 1.56767e-07
238 8e-08 7.9599e-08
240 1.6e-07 1.12e-07
242 1.6e-07 1.12e-07
246 1.6e-07 1.59198e-07
248 2.4e-07 1.3647e-07
250 2.4e-07 1.3647e-07
252 8e-08 7.9599e-08
254 1.6e-07 1.12e-07
258 8e-08 7.9599e-08
260 2.4e-07 1.3647e-07
262 8e-08 7.9599e-08
264 2.4e-07 1.3647e-07
266 1.6e-07 1.12e-07
268 2.4e-07 1.3647e-07
270 8e-08 7.9599e-08
272 8e-08 7.9599e-08
276 1.6e-07 1.12e-07
280 1.6e-07 1.12e-07
282 1.6e-07 1.12e-07
286 8e-08 7.9599e-08
290 1.6e-07 1.12e-07
294 1.6e-07 1.12e-07
296 2.4e-07 1.3647e-07
298 1.6e-07 1.12e-07
300 1.6e-07 1.12e-07
304 8e-08 7.9599e-08
308 8e-08 7.9599e-08
310 1.6e-07 1.12e-07
314 8e-08 7.9599e-08
316 1.6e-07 1.12e-07
318 8e-08 7.9599e-08
320 8e-08 7.9599e-08
322 8e-08 7.9599e-08
324 1.6e-07 1.12e-07
326 8e-08 7.9599e-08
330 3.2e-07 1.56767e-07
334 8e-08 7.9599e-08
338 1.6e-07 1.12e-07
344 8e-08 7.9599e-08
346 8e-08 7.9599e-08
348 8e-08 7.9599e-08
350 1.6e-07 1.12e-07
354 8e-08 7.9599e-08
360 8e-08 7.9599e-08
362 8e-08 7.9599e-08
366 8e-08 7.9599e-08
368 8e-08 7.9599e-08
372 8e-08 7.9599e-08
374 8e-08 7.9599e-08
376 8e-08 7.9599e-08
380 8e-08 7.9599e-08
386 8e-08 7.9599e-08
388 8e-08 7.9599e-08
390 8e-08 7.9599e-08
394 8e-08 7.9599e-08
400 8e-08 7.9599e-08
402 8e-08 7.9599e-08
414 8e-08 7.9599e-08
426 1.6e-07 1.12e-07
440 8e-08 7.9599e-08
450 8e-08 7.9599e-08
452 8e-08 7.9599e-08
454 8e-08 7.9599e-08
460 8e-08 7.9599e-08
466 1.6e-07 1.12e-07
470 8e-08 7.9599e-08
472 8e-08 7.9599e-08
480 8e-08 7.9599e-08
484 1.6e-07 1.12e-07
486 8e-08 7.9599e-08
492 8e-08 7.9599e-08
494 8e-08 7.9599e-08
514 1.6e-07 1.12e-07
532 8e-08 7.9599e-08
540 8e-08 7.9599e-08
544 8e-08 7.9599e-08
548 8e-08 7.9599e-08
554 8e-08 7.9599e-08
556 8e-08 7.9599e-08
564 8e-08 7.9599e-08
578 8e-08 7.9599e-08
596 8e-08 7.9599e-08
606 8e-08 7.9599e-08
612 8e-08 7.9599e-08
616 8e-08 7.9599e-08
630 1.6e-07 1.12e-07
640 8e-08 7.9599e-08
654 8e-08 7.9599e-08
668 8e-08 7.9599e-08
700 8e-08 7.9599e-08
722 8e-08 7.9599e-08
726 8e-08 7.9599e-08
746 8e-08 7.9599e-08
768 1.6e-07 1.12e-07
792 8e-08 7.9599e-08
840 8e-08 7.9599e-08
846 8e-08 7.9599e-08
854 8e-08 7.9599e-08
866 8e-08 7.9599e-08
884 8e-08 7.9599e-08
916 8e-08 7.9599e-08
942 8e-08 7.9599e-08
946 8e-08 7.9599e-08
960 8e-08 7.9599e-08
1012 8e-08 7.9599e-08
1026 8e-08 7.9599e-08
1046 8e-08 7.9599e-08
1084 8e-08 7.9599e-08
1090 8e-08 7.9599e-08
1094 8e-08 7.9599e-08
1096 8e-08 7.9599e-08
1214 8e-08 7.9599e-08
1234 8e-08 7.9599e-08
1236 8e-08 7.9599e-08
1302 1.6e-07 1.12e-07
1332 8e-08 7.9599e-08
1342 8e-08 7.9599e-08
1456 8e-08 7.9599e-08
1490 8e-08 7.9599e-08
1538 1.6e-07 1.12e-07
1604 8e-08 7.9599e-08
1622 8e-08 7.9599e-08
1640 8e-08 7.9599e-08
1682 8e-08 7.9599e-08
1744 8e-08 7.9599e-08
1854 8e-08 7.9599e-08
1858 8e-08 7.9599e-08
1874 8e-08 7.9599e-08
1966 8e-08 7.9599e-08
2080 8e-08 7.9599e-08
2122 8e-08 7.9599e-08
2230 8e-08 7.9599e-08
2254 8e-08 7.9599e-08
2444 8e-08 7.9599e-08
2516 8e-08 7.9599e-08
2544 8e-08 7.9599e-08
2660 8e-08 7.9599e-08
2710 8e-08 7.9599e-08
2824 8e-08 7.9599e-08
2872 8e-08 7.9599e-08
2890 8e-08 7.9599e-08
2980 8e-08 7.9599e-08
3156 8e-08 7.9599e-08
3504 8e-08 7.9599e-08
3524 8e-08 7.9599e-08
3608 8e-08 7.9599e-08
3656 8e-08 7.9599e-08
3822 8e-08 7.9599e-08
3916 8e-08 7.9599e-08
3948 8e-08 7.9599e-08
3968 8e-08 7.9599e-08
3974 8e-08 7.9599e-08
4096 8e-08 7.9599e-08
4202 8e-08 7.9599e-08
4498 8e-08 7.9599e-08
4612 8e-08 7.9599e-08
4648 8e-08 7.9599e-08
4656 8e-08 7.9599e-08
5590 8e-08 7.9599e-08
5684 8e-08 7.9599e-08
5722 8e-08 7.9599e-08
5856 8e-08 7.9599e-08
6928 8e-08 7.9599e-08
7678 8e-08 7.9599e-08
8166 8e-08 7.9599e-08
8372 8e-08 7.9599e-08
9218 8e-08 7.9599e-08
10418 8e-08 7.9599e-08
13128 8e-08 7.9599e-08
16406 8e-08 7.9599e-08
